Organization Name,Organization Name URL,Industries,Headquarters Location,Estimated Revenue Range,Operating Status,Company Type,Website,Full Description,Headquarters Regions,Founded Date,Founded Date Precision,Contact Email,Phone Number,LinkedIn,Facebook,Twitter,SimilarWeb - Monthly Visits,IPO Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Employees,Industry Groups,Stock Symbol,Stock Symbol URL
Engineering Design & Testing Corp.,https://www.crunchbase.com/organization/engineering-design-testing-corp,"Consulting, Legal, Manufacturing, Product Design","Concord, California, United States",Less than $1M,Active,,http://edtengineers.com,,"San Francisco Bay Area, West Coast, Western US",,,,800-752-2373,https://www.linkedin.com/company/engineering-design-&-testing,,,"5,245",Private,,,,101-250,"Design, Manufacturing, Professional Services",,
Forshay,https://www.crunchbase.com/organization/forshay,"CRM, Information Technology","Lafayette, California, United States",Less than $1M,Active,For Profit,http://forshay.com,Forshay connects leading-edge companies with exceptional people to improve the way work gets done. They work with clients ranging from newly minted startups to some of the world’s most established brands.,"San Francisco Bay Area, West Coast, Western US",2011-01-01,year,info@forshay.com,,https://www.linkedin.com/company/forshay/,https://www.facebook.com/pg/ForshayTalent/,https://twitter.com/Forshaytalent,,Private,,,,11-50,"Information Technology, Sales and Marketing, Software",,
Plan2Win Software,https://www.crunchbase.com/organization/plan2win-software,,"Walnut Creek, California, United States",,Active,,https://www.plan2winsoftware.com,"Plan2Win Software delivers Salesforce apps that help sales teams improve account and territory management. Their products include territory plan pro that provides sale planning template, Account Plan Pro that provides salesforce account planning template to create sales plan for key accounts, and Pre Call Planning template that enables sales people to be well-prepared for each sales calls. Plan2WinSoftware is based in Walnut Creek, California.","San Francisco Bay Area, West Coast, Western US",2007-01-01,year,info@Plan2WinSoftware.com,+1-925-932-2007,https://www.linkedin.com/company/plan2win-software/about/,,,101,Private,,,,1-10,,,
Econoday,https://www.crunchbase.com/organization/econoday,"Local Business, Professional Services","Lafayette, California, United States",,Active,,http://www.econoday.com,,"San Francisco Bay Area, West Coast, Western US",1991-01-01,day,,1 (925) 299-5355,https://www.linkedin.com/company/econoday/,http://www.facebook.com/econoday,http://twitter.com/econoday,"232,908",Private,,,,11-50,,,
SecuriMetrics,https://www.crunchbase.com/organization/securimetrics,"Biometrics, Software","Martinez, California, United States",,Active,,,"SecuriMetrics is a provider of the world's only full-function handheld iris recognition and multi-modal biometric devices, software applications and services.","San Francisco Bay Area, West Coast, Western US",1999-01-01,year,,(925) 229-2212,,,,,Private,,,,,"Biotechnology, Data and Analytics, Science and Engineering, Software",,
Curepet,https://www.crunchbase.com/organization/curepet,"Health Care, Information Technology, Software","Walnut Creek, California, United States",Less than $1M,Active,,http://www.curepet.com/#events," CurePet is a web based EHR application for Veterinary Practices and Hospitals. Their unique ASP Veterinary EHR module means no expensive hardware to buy and no pricey software to manage. Instead, CurePet delivers a unified system robust enough to integrate with external systems but simple enough for everyone to use.  Their products are designed to facilitate expert clinical decision making, streamlining operations and ensuring compliance to the highest industry standards and best practices. This ultimately helps conserve time and effort; maximizing value and return on investment. ","San Francisco Bay Area, West Coast, Western US",2008-01-01,year,,1-646-606-3269,https://www.linkedin.com/company/curepet/,https://www.facebook.com/Curepetservices/,,224,Private,,,,51-100,"Health Care, Information Technology, Software",,
Innovation lab LLC,https://www.crunchbase.com/organization/innovation-lab-llc,"Consulting, Information Technology, Legal","Walnut Creek, California, United States",$1M to $10M,Active,,http://www.innovationlabs.com,,"San Francisco Bay Area, West Coast, Western US",2000-01-01,year,lmorris@innovationlabs.com,15109030652,,,,"2,294",Private,,,,1-10,"Information Technology, Professional Services",,
OUTLYNX,https://www.crunchbase.com/organization/outlynx-media,"Brand Marketing, Digital Signage, Software, Video, Video Editing, Video Streaming","Concord, California, United States",Less than $1M,Active,For Profit,https://www.outlynx.com/,"We deliver your vision through digital signage displays, digital menu boards, large format LED and LCD video walls, diosks, and interactive podiums. Whatever your needs dictate, we have the right solutions to bring it to life. •	Digital Signage •	Digital Signage Software •	LCD Video Walls, •	LED Video Walls •	Commercial LCD Displays  •	Self-Order Kiosks •	Digital Signage Players, •	Interactive Signage •	Digital Menu Boards •	Digital Signage Strategy •	Digital Signage Content","San Francisco Bay Area, West Coast, Western US",2015-08-18,day,info@outlynx.com,(866) 378-9400,https://www.linkedin.com/company/outlynx-media/about/,https://www.facebook.com/outlynxmedia/,,,Private,,,,11-50,"Content and Publishing, Media and Entertainment, Sales and Marketing, Software, Video",,
Gutensite,https://www.crunchbase.com/organization/gutensite,"Content, Enterprise Software, Online Portals","Walnut Creek, California, United States",Less than $1M,Active,,http://www.gutensite.com,"Gutensite is a California design firm that helps small businesses and non-profits build and manage brilliant websites. Gutensite’s intuitive CMS is the backbone of an affordable, full-service ecosystem that supports clients with strategy, design, development and ongoing website management.  Gutensite was originally founded in San Francisco in 2002 as a boutique design firm and launched the beta version of their CMS in 2008 after years of learning what small businesses need. Gutensite is now scaling their platform and attracting other design agencies who need a great CMS and a technical partner to help them serve a wider client base. The Gutensite CMS is designed to provide the essential features that all websites need, as well as useful industry-specific functionality, while still being easy for non-technical publishers. Their CMS is optimized for building professional websites, and is not targeted for hobby website builders. The platform empowers Gutensite designers and other partner design agencies to craft memorable and engaging websites that streamline the administrative workflow and make it easy to maintain a professional web presence. Gutensite's roots as a design firm have shaped a simple control panel that empowers distributed content management roles without worrying about how the site will look, because the CMS protects the professional design so publishers can produce beautiful content with less effort. Gutensite's engaged support staff also take a proactive role in making sure clients' websites provide ongoing value and are optimized for specific conversion goals.  Gutensite operates in a critical niche between two poles in the CMS market. It has the power, flexibility and scalability of an enterprise level CMS like Drupal and Concrete5, but the instant setup and easy to use features of hosted platforms like Squarespace and Wix. It comes with a full support ecosystem that makes it a plug and play option for small businesses who need a website that delivers a great return on investment. And it is hosted on a scalable framework that allows anything to be customized so that there is flexibility to grow as business needs change.","San Francisco Bay Area, West Coast, Western US",2002-01-01,year,contact@gutensite.com,866.523.7169,,http://www.facebook.com/Gutensite,http://twitter.com/gutensite,"4,929",Private,,,,1-10,"Internet Services, Media and Entertainment, Software",,
Aarin,https://www.crunchbase.com/organization/aarin,"Business Information Systems, Information Services, Information Technology","Pleasant Hill, California, United States",Less than $1M,Active,,http://www.aarininc.com/,,"San Francisco Bay Area, West Coast, Western US",,,,,,,,194,Private,,,,,Information Technology,,
Brokerville Reviews,https://www.crunchbase.com/organization/brokerville-reviews,Finance,"Pleasant Hill, California, United States",Less than $1M,Active,,http://www.lacartes.com/business/Brokerville-com-Reviews/84528,"Brokerville.com is mainly the service provided to people with the help of internet. The website focuses on financial aspects of people. If in case people are wasting a lot of currencies or they are paid very less, then these financial company professionals will help in attaining the best moments in the life of people. Client confidentiality is maintained by company professionals. They never give their clients information to a third party. Also, they never tend to give the contact information as well to the third party folks. All the comments, which the site persists are very much consent of expression. If in case people are in trouble and need help all 24 hrs. Service delivery can be obtained from this website. The most fascinating aspect is that the website will always provide very good prospects with very good valid name, proper address, and also proper phone number. If, in case, there is a constraint for replacement, then the company will be ready to provide replacement. Also, the company professionals will help people by searching the investment prospects and insurance prospects. This aspect will be helped if people are requiring them. It serves people, who indeed come down for help earlier time is the chiefmotto of the company.","San Francisco Bay Area, West Coast, Western US",,,berylgomez121@gmail.com,,http://www.linkedin.com/in/brokerville,http://www.facebook.com/pages/Brokerville/119194108190462,http://twitter.com/BrokervilleRvew,"54,298",Private,,,,,Financial Services,,
Pulse Systems,https://www.crunchbase.com/organization/pulse-systems-inc,"Health Care, Information Technology","Concord, California, United States",$10M to $50M,Active,,http://pulsesystems.com,,"San Francisco Bay Area, West Coast, Western US",1998-01-01,year,,925-798-4080,,https://www.facebook.com/156981437675358,,"1,855",Private,,,,51-100,"Health Care, Information Technology",,
JKI,https://www.crunchbase.com/organization/jki,"Consulting, CRM, Embedded Systems, Information Technology, Software, Software Engineering, Telecommunications","Lafayette, California, United States",$1M to $10M,Active,For Profit,http://jki.net,"JKI is focused on the development of software solutions that assist scientists and engineers to design and develop products. It offers system automation solutions to generate data for their designs. JKI offers LabVIEW systems software engineering and consulting; web, mobile, and cloud development; and custom training services. The company offers VI Package Manager, JKI State Machine, JKI SMO, EasyXML, VI Tester, and Caraya. JKI was founded by Jim Kring in 2002. It is based in New Cumberland, Pennsylvania.","San Francisco Bay Area, West Coast, Western US",2002-01-01,year,info@jki.net,(888)891-7821,https://www.linkedin.com/company/1161006,https://www.facebook.com/jkisoftware,https://www.twitter.com/jkisoftware,"16,249",Private,,,,1-10,"Hardware, Information Technology, Sales and Marketing, Science and Engineering, Software",,
todreamalife,https://www.crunchbase.com/organization/todreamalife,"Business Development, Content Creators, Marketing, Product Research, Web Development","Orinda, California, United States",,Active,For Profit,https://www.todreamalife.com,"We prototype and market high-tech solutions for STEM buyers. Please contact us for the weird-and-wonderful.  As creative problem-solvers, we like innovative projects that you think will revolutionize science, technology, medicine, or the arts.  Let us develop ideas we want to see in our world.  We are a multidisciplinary team with access experts in biotech, medicine, marketing, finance, research, journalism, cryptocurrency, music, app development and graphic design.  Don't be surprised if we propose a team solution.","San Francisco Bay Area, West Coast, Western US",2018-08-24,day,info@todreamalife.com,,https://www.linkedin.com/company/todreamalife/,https://www.facebook.com/todreamalife/,https://twitter.com/todreamalife,111,Private,,,,11-50,"Data and Analytics, Design, Media and Entertainment, Sales and Marketing, Software",,
Consortium Management Company,https://www.crunchbase.com/organization/consortium-management-company-llc,"Construction, E-Commerce, Project Management","Walnut Creek, California, United States",,Closed,For Profit,http://www.consortiumco.com,"Consortium Management Company, LLC (CMC) is a full-service  construction and project management firm specializing in design management and construction management of water, wastewater, transportation and building projects. They provide ""agency CM"" and project management services for both public and private owners.","San Francisco Bay Area, West Coast, Western US",2004-01-01,year,info@consortiumco.com,1-877-584-2677,,,,,Private,,,,1-10,"Commerce and Shopping, Real Estate",,
Pacific Coast Bankers' Bank,https://www.crunchbase.com/organization/pacific-coast-bankers-bank,"Financial Services, Venture Capital","Walnut Creek, California, United States",$10M to $50M,Active,,http://pcbb.com,,"San Francisco Bay Area, West Coast, Western US",,,operations@pcbb.com,877-399-1950,,,,"8,702",Private,,,,101-250,"Financial Services, Lending and Investments",,
Calex Manufacturing Company,https://www.crunchbase.com/organization/calex-manufacturing-company,"Electrical Distribution, Electronics, Manufacturing","Concord, California, United States",,Active,,https://calex.com/,,"San Francisco Bay Area, West Coast, Western US",1962-01-01,day,,(800) 542-3355,https://www.linkedin.com/company/calex-mfg-co-inc/,,,928,Private,,,,51-100,"Consumer Electronics, Energy, Hardware, Manufacturing",,
Traxstar Technologies,https://www.crunchbase.com/organization/traxstar-technologies,"Automotive, Computer, Software","Walnut Creek, California, United States",,Active,,https://www.traxstar.com/,,"San Francisco Bay Area, West Coast, Western US",,,,(925) 943 7759,https://www.linkedin.com/company/traxstar-technologies/,,https://twitter.com/TraxStar_LLC,195,Private,,,,101-250,"Consumer Electronics, Hardware, Software, Transportation",,
Online Documents,https://www.crunchbase.com/organization/online-documents,"Electronics, Software","Concord, California, United States",,Active,For Profit,http://www.onlinedocuments.com,"Online Documents, Inc. provides flexible, compliant* electronic mortgage documents and related services to the mortgage industry. Their service is simple, fast, reliable, and accurate. They provide the document expertise so you can focus on your customers.","San Francisco Bay Area, West Coast, Western US",1988-01-01,year,solutions@onlinedocuments.com,(925)227-7000,,,,,Private,,,,1-10,"Consumer Electronics, Hardware, Software",,
Elevate To Sequoia,https://www.crunchbase.com/organization/elevate-to-sequoia,"Property Management, Real Estate, Residential","Walnut Creek, California, United States",$10M to $50M,Active,,http://elevatetosequoia.com,"Elevate To Sequoia is a real estate company providing home buying and selling services. It strives to make the ordinary a little more special by inspiring the employees and creating communities where people can expect more out of everyday life. Elevate To Sequoia was founded in 1986 and is headquartered in Walnut Creek, California.","San Francisco Bay Area, West Coast, Western US",1986-01-01,year,careers@elevatetosequoia.com,(530) 902-4451,https://www.linkedin.com/company/735115,https://www.facebook.com/elevatetosequoia,https://www.twitter.com/elevatesequoia,"36,777",Private,,,,251-500,Real Estate,,
NanoMuscle,https://www.crunchbase.com/organization/nanomuscle,"Consumer Electronics, Manufacturing, Nanotechnology","Antioch, California, United States",,Closed,For Profit,http://www.NanoMuscle.com,"NanoMuscle is a privately held company that designs and manufactures advanced motion technologies for use in a wide range of consumer devices. With their low cost, small size and silent operation, NanoMuscle products displace conventional electromagnetic motors and solenoids and for the first time provide miniature, affordable motion.","San Francisco Bay Area, West Coast, Western US",1998-01-01,year,,(925)776-4700,,,,,Private,21000000,USD,21000000,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering",,
iFundRE,https://www.crunchbase.com/organization/realtyxe,"Commercial Real Estate, Crowdfunding, Real Estate, Real Estate Investment","Antioch, California, United States",Less than $1M,Active,For Profit,https://ifundre.net,"iFundRE.net is a Funding Source that provides Real Estate Loans as quick and easy as possible to borrowers with both perfect and less than perfect credit, even hard money loans! We have full doc, lite doc, 12 month bank statement & stated income loans. All credit considered! Even past Bankruptcy and Foreclosures are OK on some of our loan programs! iFundRE.net’s team looks to design a loan that meets all of your Commercial & Residential Loan needs. For Purchase, Refinance, Construction/Rehab, Development or simply Cash Out.","San Francisco Bay Area, West Coast, Western US",2015-01-02,day,Paul@ifundre.net,(925)268-8012,https://www.linkedin.com/company/realty-xe?trk=biz-companies-cym,https://www.facebook.com/realtyxe,https://twitter.com/realtyxe,,Private,,,,1-10,"Financial Services, Real Estate",,
Teleset,https://www.crunchbase.com/organization/teleset,Telecommunications,"Walnut Creek, California, United States",,Active,,https://www.teleset.com/,"Teleset is a Walnut Creek, California-based long-standing unified communications solutions integrator.","San Francisco Bay Area, West Coast, Western US",1984-01-01,year,customercare@teleset.com,(925) 941-1000,https://www.linkedin.com/company/teleset/,,,,Private,,,,11-50,Hardware,,
HIMS Consulting Group,https://www.crunchbase.com/organization/hims-consulting-group,"Consulting, Health Care","Lafayette, California, United States",,Active,,http://himsconsulting.com/,,"San Francisco Bay Area, West Coast, Western US",2004-01-01,day,,925-272-4600,https://www.linkedin.com/company/hims-consulting-group-inc./,,,,Private,,,,1-10,Health Care,,
Zoopify,https://www.crunchbase.com/organization/zoopify-inc,"Information Technology, Real Estate","Walnut Creek, California, United States",,Active,,http://www.zoopify.com,"A virtual real estate broker combining technology with the human element to create a better experience for home buyers, sellers and agents.","San Francisco Bay Area, West Coast, Western US",2017-01-01,year,info@zoopify.com,1-800-979-2240,https://www.linkedin.com/company/zoopify-inc./,,https://twitter.com/real_Zoopify,,Private,,,,,"Information Technology, Real Estate",,
Openhourz,https://www.crunchbase.com/organization/openhourz,"Open Source, Search Engine","Pleasant Hill, California, United States",$1M to $10M,Active,,http://www.openhourz.com,"Openhourz is website that provides its users with the fastest, easiest and most accurate way to find the store hours that they need.  The OHZ Team has officially launched their website and is ready to help simplify the communities life at www.openhourz.com  Openhourz Website Features:  -Search for easy and accurate store hours  -Use the Open Now button to search for stores that are open near you -Register your account and start adding your favorite businesses  -Add Companies that are not in our database (Help us grow!) Openhourz goal is to establish a more connected community between businesses and their consumers. Above all, they hope to viewed as  a resource rather than a service.   In efforts to create a stronger community the OHZ team recognizes that their users and verified businesses need to be included in their growth. To achieve this objective the Openhourz team encourages everyone to participate in the websites development. Check out the movement @ www.openhourz.wordpress.org","San Francisco Bay Area, West Coast, Western US",2011-07-01,day,hello@openhourz.com,(714) 326-6496,,http://www.facebook.com/Opentimez,http://twitter.com/opentimez,,Private,,,,1-10,"Internet Services, Software",,
Bitcash.org,https://www.crunchbase.com/organization/bitcash-org,"Blockchain, Payments","Antioch, California, United States",,Active,,http://www.bitcash.org/,Developer of a decentralized financial platform which uses bitshares block-chain. The company develops a mobile wallet and gateway platform built on the bitshares block-chain.,"San Francisco Bay Area, West Coast, Western US",2015-01-01,year,info@bitcash.org,,https://www.linkedin.com/company/bitcash-inc/about/,https://www.facebook.com/bitcashinc/,https://twitter.com/bitcashinc,215,Private,,,,1-10,"Financial Services, Payments",,
SlickPic,https://www.crunchbase.com/organization/slickpic,Photo Sharing,"Concord, California, United States",$1M to $10M,Active,,http://slickpic.com/t/crunch,"SlickPic.com is an online photo sharing website featuring storage, display, sharing and social network options. SlickPic.com was launched on September 21, 2010. Conceived by a group of digital photographers who were frustrated with the other online photo sites, SlickPic was created as an easy to use but feature-packed photo site for ordinary people who want to upload, organize and exchange pictures. SlickPic's aim is to offer the features that digital photo lovers want with simple navigation that everyone can understand. The site offers free accounts, unlimited uploads, drag and drop photo management, multiple sharing tools including to social networks and codes for blogs plus professional looking albums, galleries and slideshows for photos. Independent Bay Area-based business. * Founded by digital photographers. * Motto is ""Share, Store and Do More with Photos"" * Aims to be easiest and most versatile photo sharing website available. * Secure storage and multiple privacy options for users. * Customizable User Profiles, one-click buttons for social sharing. * Cutting edge programming and daily site improvements.","San Francisco Bay Area, West Coast, Western US",2010-01-31,day,info@slickpic.com,(415) 754-0190,,https://www.facebook.com/slickpic,http://twitter.com/slickpic,"72,912",Private,,,,11-50,"Content and Publishing, Media and Entertainment",,
Medical Anesthesia Consultants,https://www.crunchbase.com/organization/medical-anesthesia-consultants,"Health Care, Medical","Walnut Creek, California, United States",,Active,For Profit,http://www.macmgi.com/,"Medical Anesthesia Consultants (MAC) is Northern California's premier in providing perioperative care to hospitals, medical centers, surgery centers, and physicians'​ offices in the Alameda, Contra Costa, Marin, San Mateo, and San Francisco counties. For 30 years Medical Anesthesia Consultants have been providing exceptional anesthesia care by physicians from top-rated institutes and have experience with general, intravenous, sedation, cardiac, neurosurgical, obstetric, orthopedic, pediatric, plastic surgery, trauma, and gastrointestinal anesthesia as well as diagnostic and therapeutic services.","San Francisco Bay Area, West Coast, Western US",1985-01-01,year,info@macmgi.com,(925)543-0140,https://www.linkedin.com/company/medical-anesthesia-consultants,https://www.facebook.com/Medical-Anesthesia-Consultants-570783133020059/timeline,,418,Private,,,,101-250,Health Care,,
Cool Box Portable Storage,https://www.crunchbase.com/organization/cool-box-portable-storage,"Internet, Real Estate","Concord, California, United States",$10M to $50M,Active,,http://www.getacoolbox.com,Cool Box Portable Storage offers portable storage units for rent at either your location or at our secure storage facility.,"San Francisco Bay Area, West Coast, Western US",2005-01-01,year,customerservice@getacoolbox.com,855-759-1022,,https://www.facebook.com/getacoolbox,https://www.twitter.com/getacoolbox,"5,206",Private,,,,51-100,"Internet Services, Real Estate",,
FutureLab Consulting,https://www.crunchbase.com/organization/futurelab-consulting,Management Consulting,"Walnut Creek, California, United States",Less than $1M,Active,For Profit,https://futurelabconsulting.com,"The Vision of FutureLab merges the strengths of a forward-looking consulting firm with a visionary technology firm. Our team of Silicon Valley veterans has the combined experience of more than 100 years of success on the leading edge of business design and execution, and we offer a unique set of services that are focused on only one objective: to help your organization successfuly adapt to exponential change.","San Francisco Bay Area, West Coast, Western US",2014-01-01,year,info@futurelabconsulting.com,+1.415.952.7888,https://www.linkedin.com/company/futurelab-consulting,https://www.facebook.com/pg/FutureLabConsulting,,436,Private,,,,,Professional Services,,
Agile Search Marketing,https://www.crunchbase.com/organization/agile-search-marketing,"Consulting, Content, SEO, Social Media, Video, Web Design, Web Development","Lafayette, California, United States",Less than $1M,Active,,http://www.agilesearchmarketing.com,Sr. Director and founder of Agile Search Marketing. ASM was founded in 2004. SEO and Online Advertising are Agile's specialties.,"San Francisco Bay Area, West Coast, Western US",2004-02-10,day,alank@agilesearchmarketing.com,925-299-1358,,http://www.facebook.com/AgileSearchMarketing,http://twitter.com/seo_guru_ak,,Private,,,,11-50,"Design, Internet Services, Media and Entertainment, Sales and Marketing, Software, Video",,
Concore Development Group,https://www.crunchbase.com/organization/concore-development-group,"Construction, Real Estate","Concord, California, United States",,Active,,http://www.concoredg.com/,"They  are a fully integrated construction management company. As a licensed general contractor with extensive experience in design-build and design-assists projects, our focus is to help our clients define their true project goals, tailor design solutions, and build to sustain in the most cost effective and time efficient way possible. Their full-service capabilities are customized to meet each owner's specific project needs at all phases of the project. They provide individual services (design or construction) or fully integrated delivery systems to successfully meet your objectives.","San Francisco Bay Area, West Coast, Western US",2014-01-01,year,info@concoredg.com,925-435-5877,https://www.linkedin.com/company/concore-development-group-inc/,https://www.facebook.com/concoredg/,https://twitter.com/concoredg?lang=en,,Private,,,,1-10,Real Estate,,
Tradeline Inc.,https://www.crunchbase.com/organization/tradeline-inc,"Advertising, E-Commerce, Marketing, Product Design, Web Design","Orinda, California, United States",$1M to $10M,Active,,https://www.tradelineinc.com,,"San Francisco Bay Area, West Coast, Western US",1975-01-01,year,,9252541744,https://www.linkedin.com/company/tradeline,,https://www.twitter.com/tradelineinc,"5,945",Private,,,,11-50,"Advertising, Commerce and Shopping, Design, Sales and Marketing",,
Energy Informatics,https://www.crunchbase.com/organization/energy-informatics,"Energy Management, SaaS, Software, Solar","Walnut Creek, California, United States",Less than $1M,Active,,http://www.energyinformatics.com,"Energy Informatics LLC is a software-as-a-service start-up committed to building the enabling software necessary for effective portfolio- and fleet-level asset management of distributed energy resources. Our initial focus is on developing cloud-based applications for the management of solar photovoltaic facilities ranging in size from small residential rooftop systems to multi-megawatt utility-scale power plants. Between 2011 and 2012, the solar industry grew 76% and is expect to grow approximately 30% year-over-year from now until the end of 2016. By then, the U.S. could have nearly 1 million individual solar installations. For those assets installed under a Third-Party Ownership (TPO) model – approximately 85% of the total – there exists a unique set of management requirements: performance benchmarking, billing and ticketing, vendor workflow communication, and reporting, among others. Performing these vital back-office functions for a portfolio of hundreds or thousands of small power plants requires a new set of software tools, unlike those built for the conventional power industry. Energy Informatics has built these tools. We have built the Energy Informatics Back Office Suite so that solar financiers, integrators, and service providers can manage fast-growing fleets of small power plants better, faster, and cheaper with minimal personnel. We provide these capabilities in the cloud. It’s the best way to deliver software to an industry growing fast across multiple markets and a changing regulatory landscape. We handle the complexity. In exchange, our customers pay us subscription fees based on the sites or capacity under management.","San Francisco Bay Area, West Coast, Western US",2011-01-01,year,info@energyinformatics.com,925-954-1850,http://www.linkedin.com/company/2664848,,,,Private,,,,11-50,"Energy, Natural Resources, Software, Sustainability",,
Leland Saylor Associates,https://www.crunchbase.com/organization/leland-saylor-associates,Construction,"Walnut Creek, California, United States",$1M to $10M,Active,For Profit,http://lelandsaylor.com/,"Leland Saylor Associates is a certified DVBE based in San Francisco and Los Angeles with over 30 years experience in cost analysis and construction management focusing on education, civic and transit projects, as well as other publicly funded projects. Public construction projects are more complex than ever, with issues ranging from bond funding and financing to technology infrastructure and community outreach that put huge demands on an agency’s resources and require skills and expertise few possess. LSA’s team of dedicated professionals have worked on literally thousands of schools, hundreds of civic and justice complexes, and dozens of large-scale transit and public works projects, bringing commitment, accuracy, and attention to detail that is unmatched in the industry. ","San Francisco Bay Area, West Coast, Western US",1958-01-01,year,info@lelandsaylor.com,415.291.3200 ,,,,482,Private,,,,,Real Estate,,
Jw Harrison Financial,https://www.crunchbase.com/organization/jw-harrison-financial,"Finance, Financial Services","Walnut Creek, California, United States",,Active,,http://jwharrison.com,,"San Francisco Bay Area, West Coast, Western US",,,,925.271.5521,,,,,Private,,,,,Financial Services,,
StarrData,https://www.crunchbase.com/organization/starrforce,"Consulting, Information Technology","Walnut Creek, California, United States",$1M to $10M,Active,For Profit,http://starrdata.com/,"StarrData helps clients get the most out of Salesforce. StarrData provide implementation services to companies who would like to use Salesforce for the first time, and StarrData also offer Salesforce support, training, administration, optimization, and consulting services to help existing Salesforce users get more out of Salesforce.","San Francisco Bay Area, West Coast, Western US",2009-01-01,year,info@starrdata.com,(888) 391-4493,https://www.linkedin.com/company-beta/680404/,https://www.facebook.com/StarrData,https://twitter.com/StarrData,"5,105",Private,,,,11-50,Information Technology,,
Autobox,https://www.crunchbase.com/organization/autobox,"Analytics, Business Intelligence, Customer Service, Data Visualization, Enterprise Software, Predictive Analytics","Walnut Creek, California, United States",,Active,For Profit,http://www.autoboxcorp.com,"An omni-channel customer service platform providing social messaging engagement and automated workforce optimization for the digital age. We help enterprises deliver a better customer experience (CX) with measurement, insights and optimization.","San Francisco Bay Area, West Coast, Western US",2015-01-01,year,,,,,,,Private,,,,11-50,"Artificial Intelligence, Data and Analytics, Design, Information Technology, Software",,
Alcorsola,https://www.crunchbase.com/organization/alcorsola,"Construction, Real Estate, Real Estate Investment","Concord, California, United States",,Active,,http://alcorsolar.com,,"San Francisco Bay Area, West Coast, Western US",1981-01-01,day,,925-825-5658,,,,,Private,,,,101-250,"Financial Services, Real Estate",,
Holtz Communications + Technology,https://www.crunchbase.com/organization/holtz-communications-technology,"Communications Infrastructure, Digital Media, Public Relations","Concord, California, United States",$10M to $50M,Active,For Profit,http://holtz.com/,"Shel Holtz started Holtz Communication + Technology (HC+T) in 1996 with the goal of helping organizations communicate effectively in the emerging online space using intranets to reach employees and various dimensions of the Internet to communicate with other stakeholder audiences. HC+T provides a full range of services for large organizations, from speaking and training to communication audits and strategic plan development. While HC+T is a sole proprietorship, Shel has access to a pool of deeply experienced and highly talented communicators and other professionals, enabling him to assemble project teams based on their qualifications, ensuring the best possible project outcomes. Clients for which HC+T has worked include Intel, Sears, Petrobras, Aetna, John Deere, Manulife Financial, U.S. Customs and Border Protection, The Mayo Clinic, Accenture, Hewitt Associates, General Mills, USAA, Applied Materials, Symantec, the Internal Revenue Service, Raytheon, The World Bank, Petrobras, Amdocs, Disney, The Ford Motor Company, McKinsey & Co., Black & Decker, Rockwell Automation, FedEx, Freescale Semiconductor, Johns Hopkins Medicine, The International Monetary Fund, National Geographic, YUM Brands, Southern California edison, The American Red Cross, and Monsanto. HC+T is currently engaged in assignments with PepsiCo, Pratt & Whitney, Voice of America, Temple University Health System, Fleishman-Hillard, Public Service New Hampshire and Florida Power & Light.","San Francisco Bay Area, West Coast, Western US",1996-01-01,year,shel@holtz.com,(415) 881-7435,https://www.linkedin.com/company/holtz-communication-technology,https://www.facebook.com/shel.holtz,https://www.twitter.com/shelholtz,392,Private,,,,1-10,"Hardware, Media and Entertainment, Sales and Marketing",,
Alkaline Live H2o,https://www.crunchbase.com/organization/alkaline-live-h2o,"Food and Beverage, Health Care, Wine And Spirits","Concord, California, United States",,Active,For Profit,http://alkalineliveh2o.com,"Kangen alkaline water has been tested and certified by the Water Quality Association (WQA) as a quality product that promotes proper health and well-being. We also have purification and ionizing machines that not only purify water but they also make the water alkaline as well. These kangen water machine are available in our store at reasonable rates. Drinking water instead of soda or other sugary drinks is certainly healthier. However, tap water in most places contains hundreds of pollutants and has a high acid balance. Alkaline Live H2o provides a product that balances the water's pH and removes harmful contaminants.","San Francisco Bay Area, West Coast, Western US",,,brian@alkalineliveh2o.com,(925)241-5121,,https://www.facebook.com/alkalineliveh2o,https://www.twitter.com/kangenizer1,,Private,,,,,"Food and Beverage, Health Care",,
AllDomains.com,https://www.crunchbase.com/organization/alldomains-com,Internet,"Concord, California, United States",,Active,For Profit,https://www.alldomains.com,,"San Francisco Bay Area, West Coast, Western US",1996-01-01,year,,800-401-5250,,,,935,Private,,,,11-50,Internet Services,,
MyUmbrella,https://www.crunchbase.com/organization/myumbrella,"LGBT, Mobile, Mobile Apps, Private Social Networking, Social Media, Social Network","Concord, California, United States",,Active,For Profit,http://myumbrella.co,"MyUmbrella is a mobile app that acts as a safe platform aimed at marginalized members of the LGBTQ+ community to connect and share stories about navigating the journey of living openly and authentically in their relationships, families and friendships on a larger scale than any other social networking platform currently available. Our mantra is: No Swipes. Because we’re not a dating app. No Likes. Because it’s not a popularity contest. No Pressure. Just be you. No need to wear a mask.","San Francisco Bay Area, West Coast, Western US",2017-10-02,day,hello@myumbrella.co,833-528-3353,https://www.linkedin.com/company/myumbrella/,https://www.facebook.com/MyUmbrellaHQ/,https://twitter.com/myumbrellahq,100,Private,,,,1-10,"Apps, Community and Lifestyle, Internet Services, Media and Entertainment, Mobile, Software",,
